Player,Team,Age,GP,W,L,Min,PTS,FG%,3P%,FT%,AST,PF
Dyson Daniels,NOP,20,56,31,25,1011.5,215,41.3,31.3,62.2,129,98
Kris Dunn,UTA,29,18,7,11,429.1,213,51.5,43.3,71.8,90,45
Miles McBride,NYK,22,61,35,26,717.8,207,35.9,30.2,67.5,69,55
Sandro Mamukelashvili,SAS,23,39,21,18,553.1,207,40.9,27.7,71.1,51,49
Day'Ron Sharpe,BKN,21,44,20,24,502.9,206,54.1,54.5,65.2,33,85
George Hill,IND,36,44,26,18,793.5,206,45.5,32.2,76.0,102,51
Darius Bazley,PHX,22,41,19,22,582.5,204,44.6,38.8,55.2,36,40
Charles Bassey,SAS,22,35,9,26,507.9,199,64.4,37.5,59.5,47,74
Lindy Waters III,OKC,25,39,18,21,502.4,198,38.8,35.8,80.0,27,40
Justise Winslow,POR,27,29,15,14,775.8,196,40.9,31.1,71.4,98,89
Justin Holiday,DAL,33,44,18,26,656.4,189,38.0,33.3,71.4,38,63
Keon Johnson,POR,21,40,13,27,416.4,189,37.6,34.6,65.9,59,43
Bryce McGowens,CHA,20,43,15,28,683.8,188,37.2,33.3,73.3,45,42
Dean Wade,CLE,26,41,28,13,815.8,187,41.5,35.1,65.2,33,83
Ziaire Williams,MEM,21,36,21,15,528.1,186,42.4,24.7,77.8,26,57
Rodney McGruder,DET,31,32,4,28,523.9,183,40.8,42.3,81.8,28,39
Dewayne Dedmon,PHI,33,36,21,15,393.1,181,49.6,28.9,69.6,19,68
Luka Garza,MIN,24,27,14,13,237.4,177,55.0,36.8,78.8,18,42
Davis Bertans,DAL,30,43,20,23,448.1,176,42.1,38.7,83.3,20,51
Jabari Walker,POR,20,52,21,31,530.3,176,41.1,28.9,78.4,30,57
DeAndre Jordan,DEN,34,36,22,14,520.7,174,75.5,100,43.2,31,67
JaVale McGee,DAL,35,40,19,21,338.6,174,63.0,25.0,59.0,11,53
Stanley Johnson,SAS,26,30,5,25,469.5,174,53.3,45.0,66.7,67,48
Christian Koloko,TOR,22,54,27,27,753.8,173,46.9,9.1,65.5,26,125
Amir Coffey,LAC,25,49,25,24,623.6,172,38.6,27.5,77.8,53,50
Isaiah Roby,SAS,25,42,9,33,473.6,172,43.2,30.0,48.8,38,53
Jericho Sims,NYK,24,50,30,20,778.2,172,76.9,0.0,75.0,24,93
Anthony Gill,WAS,30,55,20,35,543.1,171,55.9,13.0,78.6,29,61
Ousmane Dieng,OKC,19,36,18,18,514.0,168,41.4,27.3,58.8,35,39
Taj Gibson,WAS,37,49,21,28,480.4,168,52.0,33.3,71.4,34,84
James Bouknight,CHA,22,31,8,23,440.6,165,36.4,32.2,69.2,38,37
Javonte Green,CHI,29,31,12,19,466.7,164,57.5,38.2,67.4,23,52
Svi Mykhailiuk,CHA,25,29,15,14,368.2,164,46.7,47.8,64.5,35,16
Blake Griffin,BOS,34,37,24,13,523.3,162,48.4,34.4,65.6,52,69
Caleb Houstan,ORL,20,48,20,28,722.1,161,36.1,33.0,84.6,26,61
Blake Wesley,SAS,20,33,7,26,561.1,158,31.5,34.8,61.9,83,61
Wesley Matthews,MIL,36,48,35,13,731.9,158,35.7,31.3,87.5,30,67
Evan Fournier,NYK,30,24,14,10,420.6,157,34.9,32.0,85.7,35,44
Ricky Rubio,CLE,32,30,21,9,507.9,157,36.4,26.0,78.8,101,47
Moses Brown,BKN,23,36,17,19,294.1,155,63.5,0.0,45.8,4,39
Derrick Rose,NYK,34,27,12,15,337.9,152,38.4,30.2,91.7,46,18
Jordan McLaughlin,MIN,26,41,20,21,640.8,151,41.5,28.9,78.6,134,26
AJ Green,MIL,23,33,26,7,320.1,148,44.0,43.3,100,20,30
Brandon Boston Jr.,LAC,21,21,8,13,246.7,143,42.1,41.4,76.3,19,21
Kai Jones,CHA,22,43,12,31,490.0,143,57.5,21.4,72.0,12,60
TyTy Washington Jr.,HOU,21,30,5,25,411.9,137,35.5,21.8,62.5,47,27
Juan Toscano-Anderson,UTA,29,48,18,30,615.4,136,49.6,21.9,78.9,51,70
Raul Neto,CLE,30,46,30,16,459.3,136,52.6,31.6,88.9,65,41
Admiral Schofield,ORL,26,34,14,20,390.0,135,47.1,34.9,89.5,26,56
Goga Bitadze,ORL,23,34,13,21,374.1,134,55.1,26.1,52.6,35,58
Nathan Knight,MIN,25,36,17,19,284.2,134,56.4,36.4,69.1,13,37
Bruno Fernando,ATL,24,36,11,25,378.4,132,51.0,0.0,69.6,31,69
Max Christie,LAL,20,39,17,22,510.9,128,41.5,41.9,87.5,21,33
Juancho Hernangomez,TOR,27,42,20,22,613.5,122,42.1,25.4,56.3,25,43
Matt Ryan,MIN,25,33,14,19,306.2,122,37.4,38.6,83.3,15,27
Dalano Banton,TOR,23,28,15,13,252.4,120,40.7,28.3,78.9,29,31
Furkan Korkmaz,PHI,25,34,22,12,296.8,119,44.6,35.1,70.6,20,12
Richaun Holmes,SAC,29,39,21,18,322.0,119,65.8,66.7,78.9,6,48
Saben Lee,PHX,23,22,14,8,302.0,117,42.0,35.0,76.6,55,27
Frank Ntilikina,DAL,24,45,20,25,533.0,116,36.0,25.0,70.4,52,59
Patrick Baldwin Jr.,GSW,20,28,12,16,212.4,114,39.6,38.5,66.7,9,14
Orlando Robinson,MIA,22,29,17,12,397.4,113,53.5,0.0,72.4,21,52
Kira Lewis Jr.,NOP,21,24,11,13,231.8,112,45.5,44.1,85.0,23,24
Markieff Morris,DAL,33,33,17,16,320.2,109,41.3,41.1,100,28,42
Damian Jones,UTA,27,37,11,26,385.0,108,59.4,53.8,76.0,12,44
Chuma Okeke,ORL,24,24,8,16,428.0,107,36.5,31.3,76.2,26,35
Jake LaRavia,MEM,21,35,22,13,414.3,105,38.9,33.8,77.8,21,49
Kevon Harris,ORL,25,31,12,19,382.6,101,41.0,36.7,81.5,13,44
Gorgui Dieng,SAS,33,28,2,26,294.0,96,37.9,28.6,75.0,43,46
Johnny Davis,WAS,21,24,9,15,272.9,94,39.6,23.7,52.9,12,35
Kessler Edwards,SAC,22,32,16,16,332.5,94,40.5,32.0,76.9,19,34
Robin Lopez,CLE,35,35,24,11,260.8,94,65.6,66.7,75.0,14,36
Ish Smith,DEN,34,40,24,16,345.2,93,40.2,25.0,50.0,85,30
Julian Champagnie,SAS,21,13,5,8,202.1,91,46.6,38.3,83.3,4,19
Udoka Azubuike,UTA,23,32,16,16,255.6,91,81.1,0.0,31.3,9,25
Bryn Forbes,MIN,29,25,9,16,267.7,89,36.1,30.4,100,17,22
Davon Reed,LAL,27,42,28,14,341.7,89,33.3,37.0,66.7,23,39
Boban Marjanovic,HOU,34,29,5,24,151.6,88,66.7,0.0,76.9,8,8
McKinley Wright IV,DAL,24,25,14,11,283.3,88,47.3,31.8,68.8,51,21
Frank Kaminsky,HOU,29,35,12,23,217.9,82,50.0,40.0,87.5,29,22
Nikola Jovic,MIA,19,15,7,8,204.5,82,40.6,22.9,94.7,10,19
Gary Payton II,GSW,30,19,10,9,308.8,79,59.6,52.4,85.7,25,33
Dominick Barlow,SAS,19,24,3,21,309.7,78,52.4,0.0,70.6,17,46
Terry Taylor,CHI,23,29,11,18,236.4,76,48.5,26.3,71.4,10,25
Cody Zeller,MIA,30,13,5,8,182.8,75,57.4,0.0,70.0,7,28
Kennedy Chandler,MEM,20,34,21,13,268.7,74,41.8,13.3,46.2,57,15
Kemba Walker,DAL,32,9,5,4,143.9,72,42.1,25.0,81.0,19,11
Johnny Juzang,UTA,22,15,5,10,185.3,70,33.8,25.9,50.0,7,12
Jae Crowder,MIL,32,14,11,3,250.7,68,42.6,36.1,81.8,19,20
David Duke Jr.,BKN,23,20,8,12,179.5,66,46.0,12.5,63.6,16,27
Jamal Cain,MIA,24,15,8,7,186.2,66,52.0,16.7,75.0,9,15
Kenneth Lofton Jr.,MEM,20,20,13,7,106.0,66,48.2,41.7,53.8,17,20
Serge Ibaka,MIL,33,16,11,5,185.4,66,48.1,33.3,61.5,4,23
Theo Pinson,DAL,27,38,19,19,251.8,64,32.8,34.1,81.8,31,27
Dalen Terry,CHI,20,34,17,17,179.8,62,45.3,30.0,53.3,21,19
Jeff Dowtin Jr.,TOR,25,24,16,8,246.3,60,44.6,31.3,71.4,30,13
Moussa Diabate,LAC,21,21,9,12,193.8,57,50.0,50.0,62.5,4,15
Jonathan Isaac,ORL,25,11,8,3,124.0,55,41.5,40.0,55.6,6,5
Garrett Temple,NOP,36,24,16,8,158.8,50,40.9,44.0,75.0,13,15
Trent Forrest,ATL,24,20,7,13,245.7,50,47.1,0.0,66.7,31,16
Daniel Theis,IND,30,7,1,6,108.8,49,47.7,18.2,41.7,9,7
Matthew Dellavedova,SAC,32,32,19,13,212.8,47,34.0,33.3,57.1,41,20
Josh Minott,MIN,20,14,6,8,91.7,46,52.9,33.3,100,4,10
KZ Okpala,SAC,23,35,19,16,248.0,46,42.1,33.3,87.5,13,39
Jarrett Culver,ATL,24,10,5,5,136.9,44,39.5,8.3,69.2,6,14
Otto Porter Jr.,TOR,29,8,4,4,146.3,44,50.0,35.3,100,8,7
Khem Birch,SAS,30,20,9,11,161.8,43,59.4,50.0,80.0,7,24
Peyton Watson,DEN,20,19,12,7,99.2,43,54.3,62.5,0.0,3,7
Dru Smith,BKN,25,12,5,7,131.0,42,45.0,26.3,100,16,17
Jason Preston,LAC,23,13,3,10,122.1,41,43.9,27.8,0.0,27,7
Wendell Moore Jr.,MIN,21,27,14,13,148.8,40,40.5,11.8,80.0,18,13
James Johnson,IND,36,16,6,10,137.2,39,42.1,23.1,50.0,11,29
Cody Martin,CHA,27,7,2,5,133.7,35,38.9,21.4,57.1,11,13
Mamadi Diakite,CLE,26,20,14,6,135.1,35,40.5,29.4,0.0,4,19
Nerlens Noel,BKN,28,17,4,13,194.7,35,36.1,50.0,66.7,10,32
A.J. Lawson,DAL,22,13,5,8,62.7,34,50.0,43.8,33.3,1,8
Vit Krejci,ATL,22,26,13,13,140.0,34,42.4,26.3,50.0,14,15
Alex Len,SAC,29,22,14,8,106.7,32,54.2,0.0,60.0,8,20
Greg Brown III,POR,21,16,10,6,93.1,28,39.3,14.3,41.7,3,13
Jordan Hall,SAS,21,9,1,8,82.7,28,32.1,20.0,77.8,11,6
Joshua Primo,SAS,20,4,3,1,93.4,28,34.6,25.0,77.8,18,8
Danny Green,CLE,35,9,5,4,88.0,27,39.1,44.4,100,2,10
Skylar Mays,POR,25,2,1,1,60.3,27,64.7,50.0,100,15,5
Jared Rhoden,DET,23,10,1,9,106.3,26,42.9,20.0,100,3,12
Ryan Arcidiacono,POR,29,20,9,11,172.4,26,24.3,34.8,0.0,23,17
Noah Vonleh,BOS,27,23,17,6,171.6,25,45.8,25.0,100,7,35
Thanasis Antetokounmpo,MIL,30,33,23,10,138.0,25,37.0,0.0,41.7,8,17
Meyers Leonard,MIL,31,6,5,1,50.7,24,57.1,50.0,75.0,0,7
Jaden Springer,PHI,20,14,11,3,53.0,23,40.9,0.0,83.3,5,9
Ryan Rollins,GSW,20,12,5,7,62.1,23,35.0,33.3,100,6,10
Jarrell Brantley,UTA,26,4,0,4,39.0,22,57.1,44.4,100,3,3
Keon Ellis,SAC,23,13,6,7,50.1,22,53.8,60.0,66.7,4,9
Trevelin Queen,IND,26,7,2,5,70.0,21,24.1,13.3,100,6,4
Justin Jackson,BOS,28,23,15,8,107.4,20,25.9,25.0,50.0,9,7
Jack White,DEN,25,16,12,4,51.0,19,43.8,37.5,66.7,3,8
Tony Bradley,CHI,25,12,5,7,33.4,19,50.0,60.0,100,1,2
Andre Iguodala,GSW,39,8,3,5,112.6,17,46.7,11.1,66.7,19,11
Luka Samanic,UTA,23,3,1,2,47.7,17,33.3,22.2,83.3,5,8
Buddy Boeheim,DET,23,8,1,7,73.9,16,20.8,18.2,100,3,5
Darius Days,HOU,23,4,0,4,25.0,15,41.7,30.0,100,1,2
Jamaree Bouyea,WAS,23,5,2,3,70.5,15,42.9,33.3,50.0,4,6
Tyrese Martin,ATL,24,13,8,5,45.4,15,37.5,20.0,100,0,2
Micah Potter,UTA,24,5,3,2,26.9,14,75.0,66.7,0.0,3,3
Olivier Sarr,OKC,24,6,3,3,67.1,14,38.5,16.7,100,3,11
Scotty Pippen Jr.,LAL,22,6,1,5,31.5,14,33.3,33.3,55.6,2,3
John Butler Jr.,POR,20,15,4,11,116.0,13,21.7,12.5,100,4,13
Xavier Sneed,CHA,25,2,0,2,23.7,13,80.0,75.0,100,3,2
Neemias Queta,SAC,23,4,1,3,24.5,12,75.0,0.0,0.0,1,7
Omer Yurtseven,MIA,24,6,3,3,37.3,12,55.6,0.0,66.7,0,6
Isaiah Mobley,CLE,23,10,7,3,32.5,11,50.0,33.3,0.0,0,2
JD Davison,BOS,20,10,9,1,27.3,11,38.5,25.0,0.0,6,4
Quenton Jackson,WAS,24,5,2,3,29.4,11,40.0,20.0,100,2,3
Facundo Campazzo,DAL,32,8,2,6,52.2,10,23.1,27.3,50.0,9,3
Ron Harper Jr.,TOR,22,6,4,2,17.9,10,50.0,40.0,0.0,0,0
Vince Williams Jr.,MEM,22,12,6,6,53.3,10,26.7,18.2,0.0,3,6
Cole Swider,LAL,23,6,1,5,40.5,9,33.3,37.5,0.0,4,3
Jared Butler,OKC,22,3,1,2,26.6,9,50.0,33.3,0.0,4,4
Joe Wieskamp,TOR,23,6,4,2,31.3,9,37.5,42.9,0.0,1,2
Kendall Brown,IND,19,6,1,5,40.3,9,57.1,0.0,50.0,3,9
PJ Dozier,SAC,26,13,10,3,31.7,9,28.6,14.3,0.0,1,2
Trevor Hudgins,HOU,24,5,0,5,28.3,9,22.2,25.0,100,3,1
Tyler Dorsey,DAL,27,3,2,1,8.3,9,80.0,50.0,0.0,0,0
Lindell Wigginton,MIL,25,5,4,1,18.2,8,33.3,0.0,100,2,2
Shaquille Harrison,POR,29,2,1,1,42.2,8,42.9,66.7,0.0,10,6
Alize Johnson,SAS,26,4,1,3,29.5,7,50.0,0.0,50.0,1,3
Jay Huff,WAS,25,4,1,3,15.1,7,50.0,0.0,100,3,1
Jeenathan Williams,POR,24,1,1,0,13.4,7,50.0,100,0.0,0,3
Justin Champagnie,TOR,21,3,2,1,10.9,6,100,0.0,0.0,1,1
Leandro Bolmaro,UTA,22,14,8,6,68.5,6,15.0,0.0,0.0,7,10
Vernon Carey Jr.,WAS,22,11,8,3,28.5,6,25.0,0.0,100,3,5
Dylan Windler,CLE,26,3,3,0,10.4,5,66.7,50.0,0.0,1,0
Malcolm Hill,CHI,27,5,4,1,9.2,5,50.0,33.3,0.0,0,1
Xavier Moon,LAC,28,3,1,2,17.9,5,25.0,33.3,0.0,5,1
Braxton Key,DET,26,3,0,3,9.1,4,100,0.0,100,0,0
Dereon Seabron,NOP,22,5,2,3,11.6,4,40.0,0.0,0.0,0,1
Xavier Cooks,WAS,27,6,1,5,22.0,4,100,0.0,0.0,2,2
Carlik Jones,CHI,25,4,2,2,28.1,3,14.3,0.0,25.0,2,2
Devon Dotson,WAS,23,6,1,5,53.1,3,10.0,25.0,0.0,8,9
Jordan Schakel,WAS,24,2,0,2,6.2,3,50.0,100,0.0,1,1
Trevor Keels,NYK,19,3,3,0,8.0,3,25.0,25.0,0.0,0,0
Udonis Haslem,MIA,42,6,3,3,47.2,3,8.3,0.0,50.0,0,8
Chima Moneke,SAC,27,2,1,1,7.9,2,50.0,0.0,0.0,1,2
Chris Silva,DAL,26,1,1,0,3.0,2,100,0.0,0.0,0,2
Isaiah Todd,WAS,21,4,2,2,12.6,2,25.0,0.0,0.0,0,0
Jay Scrubb,ORL,22,1,1,0,2.5,2,100,0.0,0.0,0,1
Mfiondu Kabengele,BOS,25,2,1,1,14.0,2,50.0,0.0,0.0,0,3
Sam Merrill,CLE,26,3,3,0,10.8,2,25.0,0.0,0.0,1,2
Stanley Umude,DET,23,1,0,1,2.1,2,0.0,0.0,100,0,0
Michael Carter-Williams,ORL,31,1,1,0,1.8,1,0.0,0.0,50.0,0,0
Alondes Williams,BKN,23,1,1,0,5.3,0,0.0,0.0,0.0,0,1
Deonte Burton,SAC,29,2,1,1,6.5,0,0.0,0.0,0.0,0,0
Frank Jackson,UTA,24,1,0,1,5.0,0,0.0,0.0,0.0,1,0
Kobi Simmons,CHA,25,2,0,2,5.6,0,0.0,0.0,0.0,1,0
Lester Quinones,GSW,22,1,1,0,1.5,0,0.0,0.0,0.0,0,0
Marko Simonovic,CHI,23,4,2,2,8.6,0,0.0,0.0,0.0,0,2
Michael Foster Jr.,PHI,20,1,1,0,1.0,0,0.0,0.0,0.0,0,0
Sterling Brown,LAL,28,4,2,2,24.4,0,0.0,0.0,0.0,2,4
