Player,Team,Age,GP,W,L,Min,PTS,FG%,3P%,FT%,AST,PF
Wendell Carter Jr.,ORL,23,55,26,29,1641.4,851,52.7,35.0,74.1,128,155
LaMelo Ball,CHA,21,36,13,23,1267.8,838,41.1,37.6,84.3,304,118
Eric Gordon,LAC,34,66,22,44,1902.4,836,45.0,37.4,82.1,178,75
Mason Plumlee,LAC,33,76,25,51,1996.5,833,67.6,0.0,63.3,240,207
Dennis Schroder,LAL,29,64,36,28,1930.6,810,41.8,33.3,86.6,290,139
Tre Jones,SAS,23,64,18,46,1869.0,803,45.1,27.2,86.0,409,95
Markelle Fultz,ORL,24,57,29,28,1712.9,800,51.2,30.5,78.2,326,126
Tyus Jones,MEM,26,77,49,28,1852.6,797,44.0,37.8,79.8,391,30
Kentavious Caldwell-Pope,DEN,30,74,51,23,2327.6,793,45.9,41.6,82.1,180,141
Patrick Williams,CHI,21,78,38,40,2208.8,787,46.5,41.4,87.0,95,141
Kelly Olynyk,UTA,31,65,28,37,1844.9,785,48.9,38.1,85.8,233,224
Naz Reid,MIN,23,68,32,36,1250.9,781,53.7,34.6,67.7,77,176
De'Anthony Melton,PHI,24,75,49,26,2109.4,777,43.0,39.5,79.3,194,188
Ivica Zubac,LAC,26,73,40,33,2088.8,777,63.2,0.0,69.1,75,212
Chris Paul,PHX,37,57,31,26,1819.0,772,43.2,35.8,83.1,519,125
Corey Kispert,WAS,24,70,30,40,1984.9,759,50.0,43.0,86.1,83,93
Onyeka Okongwu,ATL,22,76,39,37,1757.9,754,64.7,25.0,77.9,75,241
Zion Williamson,NOP,22,29,17,12,956.1,754,60.8,36.8,71.4,133,65
Cole Anthony,ORL,22,58,28,30,1495.5,752,45.4,36.2,89.0,224,155
Austin Reaves,LAL,24,60,32,28,1705.8,751,52.0,38.5,86.1,196,99
Grayson Allen,MIL,27,72,53,19,1972.1,750,44.0,39.9,90.5,163,117
Clint Capela,ATL,28,62,33,29,1656.6,745,64.9,0.0,60.7,57,132
Mike Conley,MIN,35,64,31,33,1936.5,743,42.0,37.8,83.8,437,133
Gordon Hayward,CHA,33,50,20,30,1576.9,733,47.5,32.5,81.1,206,70
Marcus Morris Sr.,LAC,33,65,35,30,1825.1,728,42.6,36.5,78.2,114,136
Quentin Grimes,NYK,22,68,40,28,2012.6,727,45.9,38.1,79.6,140,170
Tari Eason,HOU,21,79,19,60,1683.2,726,44.7,34.3,75.0,81,181
Shaedon Sharpe,POR,19,77,32,45,1683.8,725,47.5,36.8,71.6,80,134
Bogdan Bogdanovic,ATL,30,52,26,26,1456.9,721,44.2,40.2,82.2,144,84
Killian Hayes,DET,21,72,15,57,1997.0,721,37.4,27.8,80.2,443,209
Josh Hart,NYK,28,73,41,32,2358.2,719,53.6,38.0,74.9,277,188
Zach Collins,SAS,25,62,19,43,1410.4,710,51.5,37.5,76.3,176,194
Jalen McDaniels,PHI,25,76,28,48,1810.8,705,45.2,32.1,83.3,124,201
Jaylen Nowell,MIN,23,65,34,31,1251.7,704,44.8,28.9,77.8,132,101
Devin Vassell,SAS,22,38,12,26,1178.1,703,43.9,38.7,78.0,136,57
Aaron Nesmith,IND,23,70,29,41,1748.1,702,42.4,36.2,83.3,96,228
Deni Avdija,WAS,22,76,33,43,2020.4,697,43.7,29.7,73.9,211,209
Jusuf Nurkic,POR,28,52,24,28,1391.4,694,51.9,36.1,66.1,149,185
Terance Mann,LAC,26,78,41,37,1809.5,693,51.7,38.7,79.3,180,144
Marcus Smart,BOS,29,60,43,17,1926.6,686,41.4,33.7,75.7,378,168
Santi Aldama,MEM,22,75,46,29,1650.8,686,47.3,35.6,75.4,92,141
Naji Marshall,NOP,25,73,38,35,1744.0,681,43.5,30.4,78.8,183,107
Walker Kessler,UTA,21,74,34,40,1703.2,679,72.0,33.3,51.6,69,169
Talen Horton-Tucker,UTA,22,64,30,34,1275.9,675,42.2,29.1,75.5,239,106
Chris Boucher,TOR,30,72,37,35,1450.6,674,49.1,32.0,75.5,28,137
Collin Sexton,UTA,24,47,24,23,1129.4,670,50.7,41.0,82.2,135,109
Andrew Nembhard,IND,23,72,31,41,1974.2,666,43.8,34.9,79.2,313,174
Isaiah Joe,OKC,23,71,35,36,1345.7,666,44.4,40.8,81.7,83,100
Coby White,CHI,23,70,35,35,1626.3,665,43.8,37.5,86.6,188,118
Rui Hachimura,LAL,25,59,35,24,1377.4,663,48.7,33.1,73.9,53,68
Ayo Dosunmu,CHI,23,76,38,38,2001.3,658,49.5,32.2,81.0,197,179
Caleb Martin,MIA,27,67,35,32,1982.6,658,46.7,36.4,79.8,106,141
Alec Burks,DET,31,51,12,39,1122.4,652,43.6,41.4,81.4,114,98
Doug McDermott,SAS,31,63,19,44,1308.2,652,46.1,41.8,75.7,91,118
Lonnie Walker IV,LAL,24,55,26,29,1290.6,651,44.7,36.3,85.8,64,71
Cedi Osman,CLE,27,74,46,28,1505.0,644,44.9,36.7,68.6,109,119
Daniel Gafford,WAS,24,75,31,44,1535.7,643,72.6,0.0,65.7,77,177
Reggie Jackson,DEN,32,64,35,29,1565.5,643,40.6,33.7,90.5,217,107
Royce O'Neale,BKN,29,73,40,33,2309.9,642,38.8,39.3,73.1,269,230
Josh Richardson,NOP,29,61,22,39,1448.0,638,43.4,36.5,85.2,171,110
Monte Morris,WAS,27,62,28,34,1696.1,636,48.0,38.2,83.1,326,75
Donte DiVincenzo,GSW,26,69,39,30,1812.1,634,42.7,39.0,83.6,230,130
Andrew Wiggins,GSW,28,37,19,18,1190.3,633,47.3,39.6,61.1,85,107
T.J. McConnell,IND,31,74,31,43,1504.3,632,54.1,43.1,84.6,385,104
Jonathan Kuminga,GSW,20,64,35,29,1331.6,627,52.2,35.7,64.8,117,153
Bones Hyland,LAC,22,53,33,20,1025.1,625,39.9,37.6,84.4,163,91
Grant Williams,BOS,24,75,52,23,1973.6,624,45.9,40.2,78.4,126,188
Kyle Anderson,MIN,29,66,33,33,1863.5,624,51.1,42.0,73.5,317,142
Jalen Smith,IND,23,67,31,36,1252.4,623,47.1,27.5,75.7,66,149
Jevon Carter,MIL,27,78,56,22,1738.0,620,42.4,41.7,81.6,186,153
Jeremy Sochan,SAS,19,56,15,41,1457.7,614,45.3,24.6,69.8,142,138
Malaki Branham,SAS,19,62,13,49,1447.1,613,44.2,30.8,80.3,124,111
Gabe Vincent,MIA,26,64,34,30,1672.1,606,40.1,33.3,88.3,154,149
Georges Niang,PHI,29,75,49,26,1449.7,606,43.8,39.9,86.4,75,144
Bol Bol,ORL,23,67,26,41,1430.8,605,56.6,29.3,76.0,61,87
AJ Griffin,ATL,19,69,32,37,1324.7,603,46.6,38.6,90.5,69,82
Cameron Johnson,BKN,27,39,23,16,1104.9,603,46.4,39.9,83.5,72,81
Al Horford,BOS,36,61,43,18,1859.2,594,47.9,45.1,71.4,180,115
Jarred Vanderbilt,LAL,24,74,40,34,1800.8,593,54.7,32.1,69.2,181,181
Kyle Lowry,MIA,37,52,27,25,1662.6,593,40.0,34.0,85.6,266,137
Moritz Wagner,ORL,25,55,27,28,1078.2,591,50.8,31.2,84.4,82,130
Shake Milton,PHI,26,73,50,23,1461.7,591,48.2,38.8,84.5,206,114
Draymond Green,GSW,33,70,38,32,2208.8,587,52.5,30.6,70.9,486,222
Damion Lee,PHX,30,71,39,32,1454.1,586,44.6,44.8,90.2,98,114
Herbert Jones,NOP,24,62,29,33,1803.2,584,46.0,31.6,75.3,148,197
Keita Bates-Diop,SAS,27,63,16,47,1351.0,570,50.7,38.7,79.4,89,60
Isaiah Stewart,DET,21,50,12,38,1414.1,567,44.2,32.7,73.8,70,133
Thomas Bryant,DEN,25,58,32,26,1060.3,567,62.3,42.9,73.8,31,101
Kevon Looney,GSW,27,79,41,38,1881.3,564,63.1,0.0,60.1,194,217
Jalen Duren,DET,19,63,15,48,1541.7,560,63.9,0.0,60.0,72,169
Brandon Clarke,MEM,26,56,32,24,1090.1,559,65.6,16.7,71.9,72,131
Cam Thomas,BKN,21,55,30,25,899.9,558,43.5,36.3,86.1,77,54
Reggie Bullock,DAL,32,76,36,40,2313.5,552,40.9,37.9,70.3,102,164
Jose Alvarado,NOP,24,61,30,31,1310.0,550,41.1,33.6,81.3,186,125
Seth Curry,BKN,32,58,35,23,1183.9,547,46.3,40.1,94.1,97,94
Torrey Craig,PHX,32,75,42,33,1866.5,541,44.0,39.3,72.7,111,174
Trey Lyles,SAC,27,70,42,28,1173.8,537,46.5,36.9,81.5,64,90
Josh Green,DAL,22,59,26,33,1508.6,536,53.3,39.8,72.3,102,154
Joe Harris,BKN,31,71,38,33,1478.2,533,45.4,42.3,62.5,99,139
Dorian Finney-Smith,BKN,29,64,30,34,1952.5,532,38.9,33.1,76.3,97,138
Devonte' Graham,SAS,28,72,31,41,1311.4,530,37.4,35.1,75.2,194,77
Karl-Anthony Towns,MIN,27,26,12,14,861.7,528,49.1,35.4,87.8,125,101
Hamidou Diallo,DET,24,56,12,44,995.9,522,57.3,23.8,58.8,55,124
Troy Brown Jr.,LAL,23,72,37,35,1774.1,518,43.1,37.4,89.2,88,118
Luke Kennard,MEM,26,57,35,22,1248.7,507,48.3,48.4,94.6,84,80
Dwight Powell,DAL,31,74,36,38,1435.7,504,73.1,0.0,66.7,67,205
Jordan Nwora,IND,24,59,35,24,1114.1,499,43.1,40.5,79.0,84,66
Khris Middleton,MIL,31,32,24,8,792.4,497,43.9,31.7,90.2,163,68
Nick Richards,CHA,25,62,20,42,1151.2,497,62.4,100,74.3,35,150
Josh Okogie,PHX,24,68,36,32,1248.7,494,40.0,33.9,72.1,95,110
Terrence Ross,PHX,32,59,25,34,1243.5,491,43.3,37.7,78.1,82,92
Tre Mann,OKC,22,64,29,35,1132.3,491,38.7,31.7,74.0,108,97
Isaac Okoro,CLE,22,76,48,28,1652.6,490,49.4,36.3,75.7,87,158
Drew Eubanks,POR,26,76,31,45,1524.6,487,64.8,33.3,66.4,98,164
Kevin Love,MIA,34,59,32,27,1194.3,487,38.8,33.3,88.8,110,94
Jalen Suggs,ORL,21,49,20,29,1164.0,479,41.7,31.9,71.1,148,115
Cameron Payne,PHX,28,46,26,20,945.5,478,41.6,37.2,75.8,207,85
Marvin Bagley III,DET,24,40,6,34,948.6,478,53.5,26.2,75.2,35,79
Dennis Smith Jr.,CHA,25,54,19,35,1389.8,474,41.2,21.6,73.6,261,122
Pat Connaughton,MIL,30,60,42,18,1437.1,466,39.3,34.0,65.9,77,69
